tick,frame,fps,collect_s,learn_s,episodes,success_rate,fail_rate,timeout_rate,critic_loss,actor_loss,q1,target_q,stddev,replay_size,updates
4450,142400,25.4,0.719,30.752,2,0.5000,0.0000,0.5000,0.103518,-0.403318,0.36861,0.36873,0.27342,131072,400
4475,143200,25.5,0.667,30.767,0,0.0000,0.0000,0.0000,0.118710,-0.398052,0.36325,0.36358,0.27327,131072,400
4500,144000,25.4,0.697,30.753,17,0.0588,0.0000,0.9412,0.110435,-0.407919,0.37243,0.37274,0.27312,131072,400
4525,144800,25.5,0.668,30.749,0,0.0000,0.0000,0.0000,0.123124,-0.419425,0.38153,0.38259,0.27297,131072,400
4550,145600,25.4,0.713,30.743,1,0.0000,0.0000,1.0000,0.105286,-0.428574,0.39325,0.39358,0.27282,131072,400
4575,146400,25.4,0.660,30.841,0,0.0000,0.0000,0.0000,0.131266,-0.426827,0.39164,0.39187,0.27267,131072,400
4600,147200,25.0,0.683,31.298,0,0.0000,0.0000,0.0000,0.110606,-0.438712,0.40293,0.40335,0.27252,131072,400
4625,148000,24.8,0.769,31.427,3,0.3333,0.0000,0.6667,0.108826,-0.445015,0.40521,0.40556,0.27237,131072,400
4650,148800,25.0,0.705,31.273,1,0.0000,0.0000,1.0000,0.124145,-0.453930,0.41624,0.41732,0.27222,131072,400
4675,149600,25.4,0.661,30.883,0,0.0000,0.0000,0.0000,0.098544,-0.458000,0.42322,0.42360,0.27207,131072,400
4700,150400,25.4,0.711,30.833,3,0.3333,0.0000,0.6667,0.092860,-0.464127,0.42753,0.42780,0.27193,131072,400
4725,151200,25.3,0.721,30.948,3,0.0000,0.0000,1.0000,0.126207,-0.457913,0.42233,0.42234,0.27178,131072,400
4750,152000,25.1,0.673,31.149,0,0.0000,0.0000,0.0000,0.119501,-0.447200,0.41232,0.41268,0.27163,131072,400
4775,152800,24.9,0.734,31.355,3,0.6667,0.0000,0.3333,0.133962,-0.445949,0.41148,0.41218,0.27148,131072,400
4800,153600,24.9,0.719,31.460,3,0.3333,0.0000,0.6667,0.132213,-0.442499,0.40659,0.40700,0.27133,131072,400
4825,154400,24.9,0.752,31.386,5,0.6000,0.0000,0.4000,0.121489,-0.460660,0.42638,0.42694,0.27118,131072,400
4850,155200,25.0,0.673,31.353,0,0.0000,0.0000,0.0000,0.138830,-0.469727,0.43532,0.43578,0.27103,131072,400
4875,156000,25.0,0.708,31.348,10,0.0000,0.0000,1.0000,0.114637,-0.478703,0.44402,0.44423,0.27088,131072,400
4900,156800,24.9,0.667,31.432,0,0.0000,0.0000,0.0000,0.121706,-0.476870,0.44432,0.44474,0.27073,131072,400
4925,157600,25.0,0.690,31.305,1,0.0000,0.0000,1.0000,0.120397,-0.478973,0.44584,0.44624,0.27058,131072,400
4950,158400,25.0,0.703,31.276,2,1.0000,0.0000,0.0000,0.117484,-0.472118,0.43798,0.43789,0.27043,131072,400
4975,159200,25.0,0.690,31.265,0,0.0000,0.0000,0.0000,0.127947,-0.469156,0.43605,0.43645,0.27028,131072,400
5000,160000,24.8,0.737,31.518,3,0.3333,0.0000,0.6667,0.121025,-0.474433,0.43992,0.44056,0.27013,131072,400
5025,160800,24.8,0.685,31.564,1,0.0000,0.0000,1.0000,0.137100,-0.479041,0.44629,0.44670,0.26998,131072,400
5050,161600,24.9,0.693,31.408,1,1.0000,0.0000,0.0000,0.133179,-0.482936,0.45158,0.45208,0.26983,131072,400
5075,162400,24.9,0.717,31.369,3,0.0000,0.0000,1.0000,0.151321,-0.485657,0.45202,0.45225,0.26969,131072,400
5100,163200,24.8,0.741,31.546,3,0.0000,0.0000,1.0000,0.122116,-0.486405,0.45446,0.45508,0.26954,131072,400
5125,164000,25.1,0.657,31.218,0,0.0000,0.0000,0.0000,0.152465,-0.493317,0.46071,0.46095,0.26939,131072,400
